,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
234,2788545,0.36,False,Oostelijk Havengebied - Indische Buurt,52.36402,4.93394,Entire home/apt,4,2,2,3,185.0,5,20,True,0,0,4.9,False,46.25,925.0,0.09,0.17,0.18,4.99,0.0,925.0
235,2797128,1.0,False,Noord-West,52.40613,4.92436,Entire home/apt,4,2,3,4,140.0,3,20,True,0,0,4.5,True,35.0,420.0,0.06,0.18,0.18,4.99,0.0,906.0
236,2829553,0.64,False,De Pijp - Rivierenbuurt,52.34926,4.88719,Entire home/apt,2,1,1,5,200.0,100,100,True,30,0,4.93,False,100.0,20000.0,0.07,0.22,0.32,4.99,0.4931506849315068,1000.0
237,2892186,0.8,False,Oostelijk Havengebied - Indische Buurt,52.36307,4.94322,Entire home/apt,2,1,1,7,165.0,3,28,True,0,2,4.89,False,82.5,495.0,0.07,0.18,0.2,4.99,0.0,825.0
238,2902819,0.71,False,Centrum-Oost,52.37067,4.90373,Entire home/apt,2,1,1,13,260.0,3,30,True,0,0,4.97,False,130.0,780.0,0.13,0.13,0.16,4.99,0.12602739726027398,1300.0
239,2912309,0.78,False,De Pijp - Rivierenbuurt,52.35326,4.90668,Entire home/apt,4,2,2,8,200.0,3,30,True,0,0,4.95,False,50.0,600.0,0.12,0.22,0.27,4.99,0.0547945205479452,1198.0821917808219
240,2921938,0.38,False,De Baarsjes - Oud-West,52.36492,4.85908,Entire home/apt,3,2,4,5,170.0,4,1125,True,3,0,4.91,False,56.67,680.0,0.09,0.14,0.14,4.99,0.10410958904109589,992.8767123287671
241,2955804,0.75,False,Westerpark,52.37486,4.87437,Entire home/apt,2,1,1,4,155.0,3,28,True,0,0,4.8,True,77.5,465.0,0.09,0.19,0.21,4.99,0.0,775.0
242,2956140,0.52,False,De Pijp - Rivierenbuurt,52.35593,4.90072,Private room,2,1,1,7,125.0,3,14,True,7,2,4.79,False,62.5,375.0,0.05,0.14,0.19,4.99,0.7616438356164383,625.0
243,2965812,0.5,False,IJburg - Zeeburgereiland,52.36091,4.97497,Entire home/apt,4,2,2,4,160.0,5,5,True,4,1,4.95,False,40.0,800.0,0.08,0.2,0.15,4.99,0.4849315068493151,800.0
244,2977065,0.16999999999999998,False,Centrum-West,52.37615,4.89001,Entire home/apt,2,1,1,25,700.0,3,21,True,0,1,4.7,True,350.0,2100.0,0.08,0.14,0.27,10.99,0.0,3500.0
245,2985952,0.17,False,Oud-Oost,52.35507,4.9114,Entire home/apt,2,1,1,4,99.0,5,30,True,1,0,4.88,False,49.5,495.0,0.04,0.09,0.16,4.99,0.4273972602739726,495.0
246,3004400,0.0,False,Oostelijk Havengebied - Indische Buurt,52.36324,4.93476,Entire home/apt,4,2,3,14,250.0,3,28,True,0,0,4.94,False,62.5,750.0,0.1,0.16,0.23,4.99,0.18082191780821918,1250.0
247,3036290,0.33,False,Westerpark,52.3852,4.87848,Private room,1,1,1,3,60.0,20,1125,True,11,0,4.22,False,60.0,1200.0,0.03,0.08,0.17,2.99,0.7917808219178082,300.0
248,3040900,1.0,False,De Baarsjes - Oud-West,52.3705,4.86328,Entire home/apt,2,1,3,5,130.0,3,30,True,0,0,4.86,False,65.0,390.0,0.07,0.15,0.19,4.99,0.0,650.0
249,3048137,1.0,False,Westerpark,52.37234,4.8673,Entire home/apt,2,1,1,5,80.0,3,60,True,0,0,4.67,False,40.0,240.0,0.05,0.11,0.18,4.99,0.0,448.9178082191781
250,3099026,0.8499999999999999,True,Centrum-Oost,52.364777,4.908362,Private room,2,1,1,6,110.0,3,1125,True,2,9,4.91,False,55.0,330.0,0.06,0.14,0.18,4.99,0.6821917808219178,550.0
251,3113368,0.88,False,Oud-Noord,52.39246,4.93268,Entire home/apt,4,2,2,8,175.0,3,21,True,0,0,4.92,False,43.75,525.0,0.07,0.1,0.19,4.99,0.06301369863013699,924.3150684931506
252,3138594,0.89,False,De Baarsjes - Oud-West,52.36998,4.87264,Entire home/apt,4,2,3,8,200.0,3,15,True,1,0,4.85,False,50.0,600.0,0.09,0.13,0.23,4.99,0.0136986301369863,1000.0
253,3163509,0.32000000000000006,False,Centrum-Oost,52.36029,4.90464,Entire home/apt,2,1,3,1,175.0,3,20,True,0,1,4.95,False,87.5,525.0,0.09,0.11,0.14,4.99,0.0,875.0
254,3172327,0.2,False,Oud-Oost,52.35746,4.92205,Entire home/apt,4,2,4,7,140.0,5,28,True,0,0,4.95,False,35.0,700.0,0.07,0.2,0.16,4.99,0.3835616438356164,700.0
255,3174322,0.43999999999999995,False,Centrum-West,52.37867,4.88561,Entire home/apt,4,2,2,16,450.0,5,21,True,0,1,4.62,False,112.5,2250.0,0.12,0.26,0.26,10.99,0.019178082191780823,2250.0
256,3194778,1.0,True,Westerpark,52.37351,4.87087,Entire home/apt,4,2,5,11,250.0,4,180,True,0,0,4.8,False,62.5,1000.0,0.1,0.25,0.23,4.99,0.0,1250.958904109589
257,3206158,0.6,False,Geuzenveld - Slotermeer,52.37746,4.83598,Entire home/apt,4,2,3,13,249.0,3,1125,True,0,0,4.83,False,62.25,747.0,0.06,0.19,0.26,4.99,0.0,1245.0
